Weight, Velocity, Chord Length, Wing Span, Lift Coefficient, Drag Coefficient
6000, 150.0, 4.50, 35.0, 4.0582, 1.5189
6000, 150.0, 4.50, 40.0, 3.5509, 1.1562
6000, 150.0, 4.50, 45.0, 3.1564, 0.9225
6000, 150.0, 4.50, 50.0, 2.8408, 0.7624
6000, 150.0, 4.75, 20.0, 6.7281, 5.3990
6000, 150.0, 4.75, 25.0, 5.3825, 3.0873
6000, 150.0, 4.75, 30.0, 4.4854, 2.0150
6000, 150.0, 4.75, 35.0, 3.8446, 1.4389
6000, 150.0, 4.75, 40.0, 3.3641, 1.0954
6000, 150.0, 4.75, 45.0, 2.9903, 0.8739
6000, 150.0, 4.75, 50.0, 2.6912, 0.7223
6000, 150.0, 5.00, 20.0, 6.3917, 5.1291
6000, 150.0, 5.00, 25.0, 5.1134, 2.9329
6000, 150.0, 5.00, 30.0, 4.2611, 1.9143
6000, 150.0, 5.00, 35.0, 3.6524, 1.3670
6000, 150.0, 5.00, 40.0, 3.1959, 1.0406
6000, 150.0, 5.00, 45.0, 2.8408, 0.8302
6000, 150.0, 5.00, 50.0, 2.5567, 0.6862
6000, 150.0, 5.25, 20.0, 6.0873, 4.8849
6000, 150.0, 5.25, 25.0, 4.8699, 2.7932
6000, 150.0, 5.25, 30.0, 4.0582, 1.8231
6000, 150.0, 5.25, 35.0, 3.4785, 1.3019
6000, 150.0, 5.25, 40.0, 3.0437, 0.9911
6000, 150.0, 5.25, 45.0, 2.7055, 0.7907
6000, 150.0, 5.25, 50.0, 2.4349, 0.6535
6000, 150.0, 5.50, 20.0, 5.8106, 4.6628
6000, 150.0, 5.50, 25.0, 4.6485, 2.6663
6000, 150.0, 5.50, 30.0, 3.8738, 1.7403
6000, 150.0, 5.50, 35.0, 3.3204, 1.2427
6000, 150.0, 5.50, 40.0, 2.9053, 0.9460
6000, 150.0, 5.50, 45.0, 2.5825, 0.7548
6000, 150.0, 5.50, 50.0, 2.3243, 0.6238
6000, 150.0, 5.75, 20.0, 5.5580, 4.4601
6000, 150.0, 5.75, 25.0, 4.4464, 2.5503
6000, 150.0, 5.75, 30.0, 3.7053, 1.6646
6000, 150.0, 5.75, 35.0, 3.1760, 1.1887
6000, 150.0, 5.75, 40.0, 2.7790, 0.9049
6000, 150.0, 5.75, 45.0, 2.4702, 0.7219
6000, 150.0, 5.75, 50.0, 2.2232, 0.5967
6000, 150.0, 6.00, 20.0, 5.3264, 4.2742
6000, 150.0, 6.00, 25.0, 4.2611, 2.4441
6000, 150.0, 6.00, 30.0, 3.5509, 1.5952
6000, 150.0, 6.00, 35.0, 3.0437, 1.1392
6000, 150.0, 6.00, 40.0, 2.6632, 0.8672
6000, 150.0, 6.00, 45.0, 2.3673, 0.6919
6000, 150.0, 6.00, 50.0, 2.1306, 0.5718
